model,n_total_eligible,n_predicted,coverage,n_evaluated,accuracy,ordinal_mae,low_precision,low_recall,low_f1,true_low_count,predicted_low_count,predicted_low_rate,middle_precision,middle_recall,middle_f1,true_middle_count,predicted_middle_count,predicted_middle_rate,high_precision,high_recall,high_f1,true_high_count,predicted_high_count,predicted_high_rate,balanced_accuracy,macro_f1,low_to_high_error_count,high_to_low_error_count,low_to_high_error_rate,high_to_low_error_rate,extreme_error_count,extreme_error_rate
ewma,560,560,1.0,560,0.5017857142857143,0.5571428571428572,0.6666666666666666,0.5638766519823789,0.6109785202863962,227,192,0.34285714285714286,0.38671875,0.526595744680851,0.44594594594594594,188,256,0.45714285714285713,0.48214285714285715,0.3724137931034483,0.42023346303501946,145,112,0.2,0.4876287299222261,0.49238597642245385,17,16,0.07488986784140969,0.1103448275862069,33,0.05892857142857143
ridge,560,497,0.8875,497,0.5010060362173038,0.5553319919517102,0.6900584795321637,0.5700483091787439,0.6243386243386243,207,171,0.3440643863179074,0.37333333333333335,0.5153374233128835,0.4329896907216495,163,225,0.45271629778672035,0.46534653465346537,0.3700787401574803,0.412280701754386,127,101,0.20321931589537223,0.48515482421636924,0.48986967227155337,15,13,0.07246376811594203,0.10236220472440945,28,0.056338028169014086
tcn,560,560,1.0,560,0.5125,0.5428571428571428,0.6808510638297872,0.5638766519823789,0.6168674698795181,227,188,0.3357142857142857,0.3977272727272727,0.5585106382978723,0.46460176991150437,188,264,0.4714285714285714,0.5,0.3724137931034483,0.4268774703557312,145,108,0.19285714285714287,0.4982670277945665,0.5027822367155845,16,15,0.07048458149779736,0.10344827586206896,31,0.055357142857142855
xgboost,560,497,0.8875,497,0.5010060362173038,0.5593561368209256,0.6878612716763006,0.5748792270531401,0.6263157894736842,207,173,0.34808853118712274,0.3755656108597285,0.50920245398773,0.4322916666666667,163,221,0.44466800804828976,0.4563106796116505,0.3700787401574803,0.408695652173913,127,103,0.20724346076458752,0.48472014039945016,0.4891010361047547,16,14,0.07729468599033816,0.11023622047244094,30,0.060362173038229376
