model,n_total_eligible,n_predicted,coverage,n_evaluated,accuracy,ordinal_mae,low_precision,low_recall,low_f1,true_low_count,predicted_low_count,predicted_low_rate,middle_precision,middle_recall,middle_f1,true_middle_count,predicted_middle_count,predicted_middle_rate,high_precision,high_recall,high_f1,true_high_count,predicted_high_count,predicted_high_rate,balanced_accuracy,macro_f1,low_to_high_error_count,high_to_low_error_count,low_to_high_error_rate,high_to_low_error_rate,extreme_error_count,extreme_error_rate
ewma,497,497,1.0,497,0.4909456740442656,0.5694164989939637,0.6783625730994152,0.5603864734299517,0.6137566137566138,207,171,0.3440643863179074,0.3684210526315789,0.5153374233128835,0.4296675191815857,163,228,0.45875251509054327,0.4489795918367347,0.3464566929133858,0.3911111111111111,127,98,0.19718309859154928,0.47406019655207365,0.47817841468310346,16,14,0.07729468599033816,0.11023622047244094,30,0.060362173038229376
ridge,497,497,1.0,497,0.5010060362173038,0.5553319919517102,0.6900584795321637,0.5700483091787439,0.6243386243386243,207,171,0.3440643863179074,0.37333333333333335,0.5153374233128835,0.4329896907216495,163,225,0.45271629778672035,0.46534653465346537,0.3700787401574803,0.412280701754386,127,101,0.20321931589537223,0.48515482421636924,0.48986967227155337,15,13,0.07246376811594203,0.10236220472440945,28,0.056338028169014086
tcn,497,497,1.0,497,0.49899396378269617,0.5593561368209256,0.6927710843373494,0.5555555555555556,0.6166219839142092,207,166,0.33400402414486924,0.37872340425531914,0.5460122699386503,0.44723618090452255,163,235,0.47283702213279677,0.4583333333333333,0.3464566929133858,0.3946188340807175,127,96,0.193158953722334,0.48267483946919726,0.48615899963314974,16,13,0.07729468599033816,0.10236220472440945,29,0.05835010060362173
xgboost,497,497,1.0,497,0.5010060362173038,0.5593561368209256,0.6878612716763006,0.5748792270531401,0.6263157894736842,207,173,0.34808853118712274,0.3755656108597285,0.50920245398773,0.4322916666666667,163,221,0.44466800804828976,0.4563106796116505,0.3700787401574803,0.408695652173913,127,103,0.20724346076458752,0.48472014039945016,0.4891010361047547,16,14,0.07729468599033816,0.11023622047244094,30,0.060362173038229376
