model,continuous_n,mae,rmse
ewma,560,4.3213100445852355,5.635191489075846
ridge,497,4.356828141103422,5.688318214971297
tcn,560,4.301030423008081,5.605618501837427
xgboost,497,4.380187492302622,5.705414951307941
